Id,Team,Match,Time,RecordType,Mode,Leave,AcqLoc,AcqCenter,AcqDis,AcqDrp,DelOrig,DelDest,DelMiss,DriveSta,RobotSta,HPAmp,StageStat,StageAtt,StageLoc,Harmony,Spotlit,ClimbT,OZTime,NZTime,AZTime,Defense,Avoidance,Strategy,Mics,ScouterName,ScouterError,match_event,teammat,TimeCenter
234,frc9740,57,2024-02-27 19:33:14.123,EndMatch,Showtime,0,-,0,0,0,-,-,0,blue0,Amp,N,Park,0,A,9,9,0.0,100.7772682,23.7806553,14.7711353,3,0,Defense,9,Jialing,0,-,9740.57,0
236,frc3316,57,2024-02-27 19:33:14.140,EndMatch,Showtime,0,OppWing,0,0,0,-,-,0,blue2,Podm,N,Else,0,A,9,9,0.0,37.4932145,35.0144004,64.91023419999999,0,1,Hybrid,9,Milo,0,-,3316.57,0
274,frc9303,58,2024-02-27 19:38:02.680,EndMatch,Showtime,0,-,0,0,0,-,-,0,red0,SubW,N,Park,0,A,9,9,0.0,0.0,127.60154809999999,10.8148552,1,0,Mover,9,Nicky,10000000,-,9303.58,0
275,frc9738,58,2024-02-27 19:38:02.697,EndMatch,Showtime,0,AllyWing,0,0,0,-,-,0,red1,Podm,Y,On,1,L,0,0,9.39538,16.6242984,47.5982649,50.388901499999996,0,0,Shooter,0,Savannah,20200000,-,9738.58,0
276,frc7067,58,2024-02-27 19:38:02.707,EndMatch,Showtime,1,-,0,0,0,-,-,0,red2,OppS,N,On,1,R,0,0,0.2492057,0.0,25.7813202,0.0,0,2,Shooter,9,Gabriel,0,-,7067.58,0
277,frc8175,58,2024-02-27 19:38:02.713,EndMatch,Showtime,1,AllyWing,0,0,0,-,-,0,blue0,Amp,N,Park,0,A,9,9,0.0,57.738088,21.4170257,62.599826799999995,3,0,Defense,9,Jialing,0,-,8175.58,0
278,frc2230,58,2024-02-27 19:38:02.727,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue1,Podm,N,On,1,L,0,0,7.9576743,13.241406099999999,26.435929299999998,85.99183049999999,0,1,Shooter,9,Eric,10201000,-,2230.58,0
279,frc7177,58,2024-02-27 19:38:02.727,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue2,SubW,Y,Park,-1,A,9,9,8.1976468,6.2376701,54.353720499999994,68.1634364,3,1,Defense,0,Milo,0,-,7177.58,0
326,frc3211,59,2024-02-27 19:42:30.980,EndMatch,Showtime,0,-,0,0,0,-,-,0,red0,Podm,N,Else,0,A,9,9,0.0,35.6298864,47.6689477,51.7675011,2,0,Hybrid,9,Nicky,10100000,-,3211.59,0
327,frc5135,59,2024-02-27 19:42:30.993,EndMatch,Showtime,1,-,0,0,0,-,-,0,red1,SubW,N,Park,0,A,9,9,0.0,14.001726999999999,67.7053229,52.677467,0,0,Hybrid,9,Savannah,0,-,5135.59,0
328,frc4338,59,2024-02-27 19:42:30.997,EndMatch,Showtime,1,-,0,0,0,-,-,0,red2,Amp,Y,Park,0,A,9,9,0.0,29.4396727,27.486879,11.2120657,0,2,Shooter,0,Gabriel,10000000,-,4338.59,0
329,frc6738,59,2024-02-27 19:42:31.013,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue0,SubW,N,Else,0,A,9,9,0.0,0.0,123.57974709999999,13.6076412,0,0,Hybrid,9,Jialing,0,-,6738.59,0
330,frc2679,59,2024-02-27 19:42:31.027,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue1,OppS,N,Park,0,A,9,9,0.0,0.0,44.3110405,91.5156251,3,0,Defense,9,Eric,0,-,2679.59,0
331,frc4319,59,2024-02-27 19:42:31.027,EndMatch,Showtime,0,AllyWing,0,0,0,-,-,0,blue2,Podm,Y,Else,0,A,9,9,0.0,8.2555552,9.1447644,119.56718629999999,0,2,Shooter,0,Milo,0,-,4319.59,0
387,frc5990,60,2024-02-27 19:49:18.757,EndMatch,Showtime,1,AllyWing,0,0,0,-,-,0,red0,Amp,N,Park,0,A,9,9,0.0,38.4425673,7.7551143,88.6689273,1,0,Hybrid,9,Nicky,10100000,-,5990.6,0
388,frc3083,60,2024-02-27 19:49:18.770,EndMatch,Showtime,1,-,0,0,0,-,-,0,red1,OppS,Y,Park,0,A,9,9,0.0,0.0,94.0466768,44.9585717,0,0,,0,Savannah,0,-,3083.6,0
389,frc1576,60,2024-02-27 19:49:18.787,EndMatch,Showtime,1,-,0,0,0,-,-,0,red2,OppS,N,Else,0,A,9,9,0.0,0.0,0.0,42.054376399999995,3,0,Defense,9,Gabriel,0,-,1576.6,0
390,frc3339,60,2024-02-27 19:49:18.803,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue0,OppS,N,On,1,L,0,0,3.5989228,0.0,0.0,11.1403508,0,0,Hybrid,9,Jialing,0,-,3339.6,0
391,frc1574,60,2024-02-27 19:49:18.817,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue1,Podm,Y,On,1,R,0,0,3.2731277,24.8411695,12.3381428,50.4838914,0,1,Shooter,0,Eric,20101000,-,1574.6,0
392,frc6230,60,2024-02-27 19:49:18.833,EndMatch,Showtime,1,OppWing,0,0,0,-,-,0,blue2,Amp,N,Else,0,A,9,9,0.0,9.154546,111.022854,16.140448,0,0,,9,Milo,0,-,6230.6,0
454,frc5654,61,2024-02-27 19:54:59.983,EndMatch,Showtime,0,Source,0,0,0,-,-,0,red0,Amp,N,Else,0,A,9,9,0.0,35.2763348,12.5024892,89.99548109999999,0,0,Shooter,9,Nicky,10200000,-,5654.61,0
455,frc2630,61,2024-02-27 19:55:00.000,EndMatch,Showtime,0,-,0,0,0,-,-,0,red1,SubW,Y,Else,0,A,9,9,0.0,25.90514,47.1227818,59.555127899999995,0,0,Shooter,0,Savannah,10100000,-,2630.61,0
456,frc1580,61,2024-02-27 19:55:00.017,EndMatch,Showtime,1,-,0,0,0,-,-,0,red2,Podm,N,Else,0,A,9,9,0.0,7.894279099999999,96.20155179999999,31.2370862,0,0,Shooter,9,Gabriel,0,-,1580.61,0
457,frc6740,61,2024-02-27 19:55:00.027,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue0,SubW,N,Park,0,A,9,9,0.0,44.693439399999995,23.7175488,69.2555556,0,1,Hybrid,9,Jialing,0,-,6740.61,0
458,frc1942,61,2024-02-27 19:55:00.053,EndMatch,Showtime,0,-,0,0,0,-,-,0,blue1,Amp,N,Park,-1,A,9,9,0.0,40.3364021,24.3963307,67.6931029,0,1,Hybrid,9,Eric,100000,-,1942.61,0
459,frc5715,61,2024-02-27 19:55:00.063,EndMatch,Showtime,1,OppWing,0,0,0,-,-,0,blue2,Podm,Y,Park,-1,A,9,9,17.867998399999998,34.570746799999995,22.1943131,62.517167799999996,0,0,Hybrid,0,Milo,100000,-,5715.61,0
519,frc1690,62,2024-02-27 20:00:02.540,EndMatch,Showtime,1,AllyWing,0,0,0,-,-,0,red0,OppS,N,On,1,L,0,0,0.7662631999999999,33.6636302,24.291988099999998,65.2670256,3,0,Celebrity,9,Nicky,801000,-,1690.62,0
520,frc1577,62,2024-02-27 20:00:02.557,EndMatch,Showtime,0,-,0,0,0,-,-,0,red1,SubW,N,On,1,R,1,0,10.691533,0.0,0.0,12.1557608,1,1,Shooter,9,Savannah,10000000,-,1577.62,0
521,frc4320,62,2024-02-27 20:00:02.573,EndMatch,Showtime,0,-,0,0,0,-,-,0,red2,Amp,Y,On,1,R,1,0,10.826005499999999,4.3862597,14.866977599999998,104.11775589999999,1,1,Celebrity,0,Gabriel,0,-,4320.62,0
522,frc5951,62,2024-02-27 20:00:02.587,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue0,SubW,N,Park,-1,A,9,9,0.0,38.283389,25.9499392,66.6828194,0,1,Hybrid,9,Jialing,0,-,5951.62,0
523,frc9740,62,2024-02-27 20:00:02.587,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue1,OppS,N,Park,0,A,9,9,0.0,14.032466099999999,16.1044144,103.2913052,1,0,Defense,9,Eric,0,-,9740.62,0
524,frc3065,62,2024-02-27 20:00:02.603,EndMatch,Showtime,1,AllyWing,0,0,0,-,-,0,blue2,Podm,Y,Park,0,A,9,9,0.0,43.228973599999996,27.4186329,66.42786319999999,0,0,Hybrid,1,Milo,0,-,3065.62,0
565,frc4338,1,2024-02-27 20:07:15.070,EndMatch,Showtime,1,AllyWing,0,0,0,-,-,0,red0,SubW,N,On,1,R,0,0,0.1980382,0.0,19.1098809,91.0405206,0,0,Mover,9,Nicky,0,-,4338.01,0
566,frc4320,1,2024-02-27 20:07:15.087,EndMatch,Showtime,0,-,0,0,0,-,-,0,red1,Podm,N,Park,-1,A,9,9,5.0046737,1.7643782,21.148475299999998,96.6020319,0,1,Shooter,9,Savannah,10000000,-,4320.01,0
567,frc5990,1,2024-02-27 20:07:15.100,EndMatch,Showtime,0,OppWing,0,0,0,-,-,0,red2,Amp,Y,Else,0,A,9,9,0.0,46.519694099999995,4.9527619,80.67708569999999,0,0,Shooter,0,Gabriel,10000000,-,5990.01,0
569,frc1690,1,2024-02-27 20:07:15.117,EndMatch,Showtime,1,-,0,0,0,-,-,0,blue1,Podm,N,On,1,L,0,0,10.3789114,27.1044627,28.5036331,63.7193519,0,1,Hybrid,9,Eric,20200000,-,1690.01,0
568,frc4319,1,2024-02-27 20:07:15.117,EndMatch,Showtime,0,-,0,0,0,-,-,0,blue0,Podm,N,Park,0,A,9,9,0.0,0.0,35.1882843,103.37562469999999,2,0,,9,Jialing,0,-,4319.01,0
570,frc9303,1,2024-02-27 20:07:15.133,EndMatch,Showtime,0,OppWing,0,0,0,-,-,0,blue2,Amp,Y,Else,0,A,9,9,0.0,56.912434299999994,19.856845999999997,58.5984327,0,0,,0,Milo,0,-,9303.01,0
610,frc6230,2,2024-02-27 20:13:20.413,EndMatch,Showtime,0,AllyWing,0,0,0,-,-,0,red0,Amp,N,Else,0,A,9,9,0.0,0.0,0.0,139.4498577,0,0,,9,Nicky,200000,-,6230.02,0
611,frc6740,2,2024-02-27 20:13:20.427,EndMatch,Showtime,0,-,0,0,0,-,-,0,red1,SubW,N,Else,0,A,9,9,0.0,0.7474618,10.9067745,122.6014129,0,0,Shooter,9,Savannah,50000000,-,6740.02,0
612,frc7177,2,2024-02-27 20:13:20.443,EndMatch,Showtime,1,-,0,0,0,-,-,0,red2,Podm,Y,Else,0,A,9,9,0.0,119.30300159999999,9.303573799999999,10.4647908,0,0,,0,Gabriel,0,-,7177.02,0
614,frc1576,2,2024-02-27 20:13:20.460,EndMatch,Showtime,0,-,0,0,0,-,-,0,blue1,SubW,N,Park,-1,A,9,9,6.7582093,32.1422549,50.3640885,28.4373485,2,0,Defense,9,Eric,0,-,1576.02,0
613,frc3211,2,2024-02-27 20:13:20.460,EndMatch,Showtime,0,-,0,0,0,-,-,0,blue0,Podm,N,Else,0,A,9,9,0.0,0.0,0.0,138.0367613,0,0,,9,Jialing,0,-,3211.02,0
615,frc1577,2,2024-02-27 20:13:20.473,EndMatch,Showtime,1,AllyWing,0,0,0,-,-,0,blue2,Amp,Y,Park,-1,A,9,9,18.6201598,0.0,13.382022399999999,97.27102699999999,0,0,,0,Milo,0,-,1577.02,0
666,frc5135,3,2024-02-27 20:18:02.600,EndMatch,Teleop,0,-,0,0,0,-,-,0,red0,Podm,N,Z,9,A,9,9,0.0,0.0,146.3875601,15.925588,10,10,Z,9,Nicky,40,-,5135.03,0
667,frc1574,3,2024-02-27 20:18:02.617,EndMatch,Teleop,1,OppWing,0,0,0,-,-,0,red1,Amp,Y,Z,9,A,9,9,0.0,42.0434081,46.463720599999995,50.996835399999995,10,10,Z,10,Savannah,10000050,-,1574.03,0
668,frc9740,3,2024-02-27 20:18:02.633,EndMatch,Showtime,1,-,0,0,0,-,-,0,red2,OppS,N,On,1,Z,10,10,1.2529782,24.244903299999997,96.0309903,9.8444693,10,10,Z,9,Gabriel,60,-,9740.03,0
669,frc1580,3,2024-02-27 20:18:02.647,EndMatch,Showtime,1,AllyWing,0,0,0,-,-,0,blue0,SubW,N,Z,9,A,9,9,0.0,7.7420624,7.9984442,134.590916,10,10,Z,9,Jialing,40,-,1580.03,0
670,frc1942,3,2024-02-27 20:18:02.663,EndMatch,Showtime,0,-,0,0,0,-,-,0,blue1,Amp,N,Z,9,A,9,9,0.0,20.8191556,21.7266068,110.666191,10,10,Z,9,Eric,20200040,-,1942.03,0
671,frc9738,3,2024-02-27 20:18:02.673,EndMatch,Teleop,1,-,0,0,0,-,-,0,blue2,Podm,Y,Z,9,A,9,9,0.0,10.595671999999999,48.324526399999996,81.6878047,10,10,Z,10,Milo,10000050,-,9738.03,0
717,frc3065,4,2024-02-27 20:22:56.847,EndMatch,Showtime,1,-,0,0,0,-,-,0,red0,Podm,N,Park,-1,A,9,9,0.31654699999999997,34.1271397,28.062161,70.6899976,2,1,Mover,9,Nicky,10000000,-,3065.04,0
718,frc8175,4,2024-02-27 20:22:56.847,EndMatch,Showtime,0,OppWing,0,0,0,-,-,0,red1,Amp,N,On,1,R,0,0,3.3093827,15.410849299999999,56.875817399999995,62.3636096,0,0,Shooter,9,Savannah,10000000,-,8175.04,0
719,frc6738,4,2024-02-27 20:22:56.863,EndMatch,Showtime,1,OppWing,0,0,0,-,-,0,red2,SubW,Y,On,1,R,0,0,3.5992577,11.5561829,55.805974,63.623559199999995,0,0,Shooter,0,Gabriel,30000000,-,6738.04,0
