Match Number,62,Unnamed: 2,eScouting through,Unnamed: 4,Amp Sta.,Scouted,Rank,Score,Unnamed: 9,Center Sta.,Scouted.1,Rank.1,Score.1,Unnamed: 14,Source Sta.,Scouted.2,Rank.2,Score.2
Alliance,Red,,Match 62,,frc4320,4.0,7.0,2880.08,,frc1577,3.0,8.0,2880.02,,frc1690,3.0,1.0,5328.1
ISR District Event #1,,,,,,,,,,,,,,,,,,
