End_Date,Event_Code,Event_Type,Event_Type_String,Event_Key,Event_Name,Short_Name,Start_Date,Week,Year
2024-03-30,mimcc,1,District,2024mimcc,FIM District Macomb Event presented by DTE,Macomb,2024-03-28,4,2024
2024-03-23,mimid,1,District,2024mimid,FIM District Midland Event presented by Dow,Midland,2024-03-21,3,2024
2024-03-02,mimil,1,District,2024mimil,FIM District Milford Event presented by GM Milford Proving Ground,Milford,2024-02-29,0,2024
2024-03-30,mimtp,1,District,2024mimtp,FIM District Central Michigan University Event,Central Michigan University,2024-03-28,4,2024
2024-03-16,mimus,1,District,2024mimus,FIM District Muskegon Event presented by Renk,Muskegon,2024-03-14,2,2024
2024-03-09,misjo,1,District,2024misjo,FIM District St. Joseph Event presented by Whirlpool,St. Joseph,2024-03-07,1,2024
2024-03-30,mitr2,1,District,2024mitr2,FIM District Troy Event #2 presented by Magna,Troy #2,2024-03-28,4,2024
2024-03-24,mitry,1,District,2024mitry,FIM District Troy Event #1 presented by Aptiv,Troy #1,2024-03-22,3,2024
2024-03-16,mitvc,1,District,2024mitvc,FIM District Traverse City Event presented by Cone Drive,Traverse City,2024-03-14,2,2024
2024-03-23,miwmi,1,District,2024miwmi,FIM District West Michigan Event,West Michigan,2024-03-21,3,2024
2024-03-02,mndu,0,Regional,2024mndu,Lake Superior Regional,Lake Superior,2024-02-28,0,2024
2024-03-02,mndu2,0,Regional,2024mndu2,Northern Lights Regional,Northern Lights,2024-02-28,0,2024
2024-04-06,mnmi,0,Regional,2024mnmi,"Minnesota 10,000 Lakes Regional","Minnesota 10,000 Lakes",2024-04-03,5,2024
2024-04-07,mnmi2,0,Regional,2024mnmi2,Minnesota Granite City Regional,Minnesota Granite City,2024-04-04,5,2024
2024-04-06,mokc,0,Regional,2024mokc,Greater Kansas City Regional,Greater Kansas City,2024-04-03,5,2024
2024-03-09,mose,0,Regional,2024mose,Central Missouri Regional,Central Missouri,2024-03-06,1,2024
2024-03-23,mosl,0,Regional,2024mosl,St. Louis Regional,St. Louis,2024-03-20,3,2024
2024-04-06,mrcmp,2,District Championship,2024mrcmp,FIRST Mid-Atlantic District Championship,Mid-Atlantic,2024-04-03,5,2024
2024-03-16,mslr,0,Regional,2024mslr,Magnolia Regional,Magnolia,2024-03-13,2,2024
2024-03-02,mxmo,0,Regional,2024mxmo,Regional Monterrey presented by PrepaTec,Regional Monterrey,2024-02-28,0,2024
2024-03-16,mxpu,0,Regional,2024mxpu,Regional Hermosillo presented by PrepaTec,Regional Hermosillo,2024-03-13,2,2024
2024-03-23,mxto,0,Regional,2024mxto,Regional Laguna presented by Peñoles,Regional Laguna,2024-03-20,3,2024
2024-03-17,ncash,1,District,2024ncash,FNC District UNC Asheville Event,UNC Asheville,2024-03-15,2,2024
2024-04-07,nccmp,2,District Championship,2024nccmp,FIRST North Carolina District State Championship,North Carolina District,2024-04-05,5,2024
2024-03-24,ncmec,1,District,2024ncmec,FNC District Mecklenburg County Event,Mecklenburg County,2024-03-22,3,2024
2024-03-10,ncpem,1,District,2024ncpem,FNC District UNC Pembroke Event,UNC Pembroke,2024-03-08,1,2024
2024-03-24,ncwa2,1,District,2024ncwa2,FNC District Wake County Event,Wake County,2024-03-22,3,2024
2024-03-03,ncwak,1,District,2024ncwak,FNC District Orange County Event,Orange County,2024-03-01,0,2024
2024-03-09,ndgf,0,Regional,2024ndgf,Great Northern Regional,Great Northern,2024-03-06,1,2024
2024-04-06,necmp,2,District Championship,2024necmp,New England FIRST District Championship,New England,2024-04-03,5,2024
2024-03-30,nhdur,1,District,2024nhdur,NE District UNH Event,UNH,2024-03-28,4,2024
2024-03-02,nhgrs,1,District,2024nhgrs,NE District Granite State Event,Granite State,2024-02-29,0,2024
2024-03-10,njall,1,District,2024njall,FMA District Allentown Event,Allentown,2024-03-08,1,2024
2024-03-03,njfla,1,District,2024njfla,FMA District Mount Olive Event,Mount Olive,2024-03-01,0,2024
2024-03-17,njski,1,District,2024njski,FMA District Montgomery Event,Montgomery,2024-03-15,2,2024
2024-03-10,njtab,1,District,2024njtab,FMA District Seneca Event,Seneca,2024-03-08,1,2024
2024-03-24,njwas,1,District,2024njwas,FMA District Warren Hills Event,Warren Hills,2024-03-22,3,2024
2024-03-30,nvlv,0,Regional,2024nvlv,Las Vegas Regional,Las Vegas,2024-03-27,4,2024
2024-03-23,nyli2,0,Regional,2024nyli2,FIRST Long Island Regional,Long Island,2024-03-20,3,2024
2024-04-07,nyny,0,Regional,2024nyny,New York City Regional,New York City,2024-04-04,5,2024
2024-03-16,nyro,0,Regional,2024nyro,Finger Lakes Regional,Finger Lakes,2024-03-13,2,2024
2024-03-09,nysu,0,Regional,2024nysu,Hudson Valley Regional,Hudson Valley,2024-03-06,1,2024
2024-03-23,nytr,0,Regional,2024nytr,New York Tech Valley Regional,New York Tech Valley,2024-03-20,3,2024
2024-03-23,ohcl,0,Regional,2024ohcl,Buckeye Regional,Buckeye,2024-03-20,3,2024
2024-04-06,ohmv,0,Regional,2024ohmv,Miami Valley Regional,Miami Valley,2024-04-03,5,2024
2024-04-06,okok,0,Regional,2024okok,Oklahoma Regional,Oklahoma,2024-04-03,5,2024
2024-03-09,oktu,0,Regional,2024oktu,Green Country Regional,Green Country,2024-03-06,1,2024
2024-03-17,onbar,1,District,2024onbar,ONT District Georgian Event,Georgian,2024-03-15,2,2024
2024-04-06,oncmp,2,District Championship,2024oncmp,FIRST Ontario Provincial Championship,Ontario,2024-04-03,5,2024
2024-03-30,onham,1,District,2024onham,ONT District McMaster University,McMaster University,2024-03-28,4,2024
2024-03-10,onnew,1,District,2024onnew,ONT District Newmarket Complex Event,Newmarket Complex,2024-03-08,1,2024
2024-03-24,onnob,1,District,2024onnob,ONT District North Bay Event,North Bay,2024-03-22,3,2024
2024-03-17,onosh,1,District,2024onosh,ONT District Durham College Event,Durham College,2024-03-15,2,2024
2024-03-10,onsca,1,District,2024onsca,ONT District Centennial College Event,Centennial College,2024-03-08,1,2024
2024-03-20,ontor,1,District,2024ontor,ONT District Humber College Event,Humber College,2024-03-18,3,2024
2024-03-23,onwat,1,District,2024onwat,ONT District University of Waterloo Event,University of Waterloo,2024-03-21,3,2024
2024-03-30,onwin,1,District,2024onwin,ONT District Windsor Essex Great Lakes Event,Windsor Essex Great Lakes,2024-03-28,4,2024
2024-03-02,orore,1,District,2024orore,PNW District Clackamas Academy Event,Clackamas Academy,2024-02-29,0,2024
2024-03-09,orsal,1,District,2024orsal,PNW District Oregon State Fairgrounds Event,Oregon State Fairgrounds,2024-03-07,1,2024
