Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,MelodyRP,EnsembleRP,OppFoulPts,Aamp,Aspkr,ANotePts,AutoPts,Tamp,Tspkra,Tspkrna,TspkraPts,TspkrnaPts,Tspkr,TspkrPts,TNotePts,TrapPts,Trap,TotNotes,NotePts,StagePts
2024isde1,qm,2024isde1_qm20,20,B,Blue2C,C,frc1580,False,35,0,0,0,0,1,5,7,0,0,9,0,18,9,18,18,5,1,10,23,10
2024isde1,qm,2024isde1_qm20,20,B,Blue3S,S,frc1574,False,35,0,0,0,0,1,5,7,0,0,9,0,18,9,18,18,5,1,10,23,10
2024isde1,qm,2024isde1_qm21,21,B,Blue1A,A,frc3065,False,37,0,0,2,0,2,10,14,1,0,10,0,20,10,20,21,0,0,13,31,2
2024isde1,qm,2024isde1_qm21,21,B,Blue2C,C,frc4338,False,37,0,0,2,0,2,10,14,1,0,10,0,20,10,20,21,0,0,13,31,2
2024isde1,qm,2024isde1_qm21,21,B,Blue3S,S,frc1577,False,37,0,0,2,0,2,10,14,1,0,10,0,20,10,20,21,0,0,13,31,2
2024isde1,qm,2024isde1_qm22,22,B,Blue1A,A,frc1580,False,30,0,0,5,0,1,5,7,1,0,4,0,8,4,8,9,10,2,6,14,14
2024isde1,qm,2024isde1_qm22,22,B,Blue2C,C,frc4320,False,30,0,0,5,0,1,5,7,1,0,4,0,8,4,8,9,10,2,6,14,14
2024isde1,qm,2024isde1_qm22,22,B,Blue3S,S,frc7067,False,30,0,0,5,0,1,5,7,1,0,4,0,8,4,8,9,10,2,6,14,14
2024isde1,qm,2024isde1_qm23,23,B,Blue1A,A,frc5654,True,51,1,0,0,0,4,20,22,4,1,6,5,12,7,17,21,0,0,15,41,3
2024isde1,qm,2024isde1_qm23,23,B,Blue2C,C,frc6738,True,51,1,0,0,0,4,20,22,4,1,6,5,12,7,17,21,0,0,15,41,3
2024isde1,qm,2024isde1_qm23,23,B,Blue3S,S,frc1574,True,51,1,0,0,0,4,20,22,4,1,6,5,12,7,17,21,0,0,15,41,3
2024isde1,qm,2024isde1_qm24,24,B,Blue1A,A,frc6230,False,8,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
2024isde1,qm,2024isde1_qm24,24,B,Blue2C,C,frc9740,False,8,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
2024isde1,qm,2024isde1_qm24,24,B,Blue3S,S,frc3211,False,8,0,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2
2024isde1,qm,2024isde1_qm25,25,B,Blue1A,A,frc2230,False,36,0,0,0,0,1,5,11,0,0,7,0,14,7,14,14,0,0,8,19,9
2024isde1,qm,2024isde1_qm25,25,B,Blue2C,C,frc2679,False,36,0,0,0,0,1,5,11,0,0,7,0,14,7,14,14,0,0,8,19,9
2024isde1,qm,2024isde1_qm25,25,B,Blue3S,S,frc1942,False,36,0,0,0,0,1,5,11,0,0,7,0,14,7,14,14,0,0,8,19,9
2024isde1,qm,2024isde1_qm26,26,B,Blue1A,A,frc2630,True,32,0,0,2,0,3,15,17,5,1,2,5,4,3,9,14,0,0,11,29,1
2024isde1,qm,2024isde1_qm26,26,B,Blue2C,C,frc4319,True,32,0,0,2,0,3,15,17,5,1,2,5,4,3,9,14,0,0,11,29,1
2024isde1,qm,2024isde1_qm26,26,B,Blue3S,S,frc4320,True,32,0,0,2,0,3,15,17,5,1,2,5,4,3,9,14,0,0,11,29,1
2024isde1,qm,2024isde1_qm27,27,B,Blue1A,A,frc1577,False,12,0,0,10,0,0,0,2,1,0,4,0,8,4,8,9,0,0,5,9,1
2024isde1,qm,2024isde1_qm27,27,B,Blue2C,C,frc9303,False,12,0,0,10,0,0,0,2,1,0,4,0,8,4,8,9,0,0,5,9,1
2024isde1,qm,2024isde1_qm27,27,B,Blue3S,S,frc6230,False,12,0,0,10,0,0,0,2,1,0,4,0,8,4,8,9,0,0,5,9,1
2024isde1,qm,2024isde1_qm28,28,B,Blue1A,A,frc1576,False,40,0,1,0,0,2,10,12,1,0,8,0,16,8,16,17,0,0,11,27,1
2024isde1,qm,2024isde1_qm28,28,B,Blue2C,C,frc4338,False,40,0,1,0,0,2,10,12,1,0,8,0,16,8,16,17,0,0,11,27,1
2024isde1,qm,2024isde1_qm28,28,B,Blue3S,S,frc5654,False,40,0,1,0,0,2,10,12,1,0,8,0,16,8,16,17,0,0,11,27,1
2024isde1,qm,2024isde1_qm29,29,B,Blue1A,A,frc3211,False,58,0,1,5,0,1,5,11,0,0,13,0,26,13,26,26,0,0,14,31,1
2024isde1,qm,2024isde1_qm29,29,B,Blue2C,C,frc1574,False,58,0,1,5,0,1,5,11,0,0,13,0,26,13,26,26,0,0,14,31,1
2024isde1,qm,2024isde1_qm29,29,B,Blue3S,S,frc4319,False,58,0,1,5,0,1,5,11,0,0,13,0,26,13,26,26,0,0,14,31,1
2024isde1,qm,2024isde1_qm3,3,B,Blue1A,A,frc1580,False,36,0,0,0,0,1,5,11,3,0,10,0,20,10,20,23,0,0,14,28,2
2024isde1,qm,2024isde1_qm3,3,B,Blue2C,C,frc1942,False,36,0,0,0,0,1,5,11,3,0,10,0,20,10,20,23,0,0,14,28,2
2024isde1,qm,2024isde1_qm3,3,B,Blue3S,S,frc9738,False,36,0,0,0,0,1,5,11,3,0,10,0,20,10,20,23,0,0,14,28,2
2024isde1,qm,2024isde1_qm30,30,B,Blue1A,A,frc3339,True,53,0,0,5,0,2,10,16,2,0,8,0,16,8,16,18,10,2,12,28,15
2024isde1,qm,2024isde1_qm30,30,B,Blue2C,C,frc7067,True,53,0,0,5,0,2,10,16,2,0,8,0,16,8,16,18,10,2,12,28,15
