Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,OppFoulPts,Aamp,Aspkr,Atrap,AutoPts,Tamp,Tspkr,Tspkrpts,Ttrap,TotNotes,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,NotePts,StagePts
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,MelodyRP,EnsembleRP,OppFoulPts,Aamp,Aspkr,ANotePts,AutoPts,Tamp,Tspkra,Tspkrna,TspkraPts,TspkrnaPts,Tspkr,TspkrPts,TNotePts,TrapPts,Trap,TotNotes,NotePts,StagePts,,
2024isde1,qm,2024isde1_qm38,38,R,Red3A,A,frc1580,True,30,0,0,0,0,0,0,2,4,1,7,5,14,8,19,23,0,0,12,23,5,,
2024isde1,qm,2024isde1_qm39,39,R,Red1S,S,frc7067,False,64,0,0,0,0,4,20,26,2,2,9,10,18,11,28,30,0,0,17,50,6,,
2024isde1,qm,2024isde1_qm39,39,R,Red2C,C,frc1577,False,64,0,0,0,0,4,20,26,2,2,9,10,18,11,28,30,0,0,17,50,6,,
2024isde1,qm,2024isde1_qm39,39,R,Red3A,A,frc6738,False,64,0,0,0,0,4,20,26,2,2,9,10,18,11,28,30,0,0,17,50,6,,
2024isde1,qm,2024isde1_qm4,4,R,Red1S,S,frc3065,False,58,0,0,2,0,4,20,22,4,1,8,5,16,9,21,25,0,0,17,45,4,,
2024isde1,qm,2024isde1_qm4,4,R,Red2C,C,frc8175,False,58,0,0,2,0,4,20,22,4,1,8,5,16,9,21,25,0,0,17,45,4,,
2024isde1,qm,2024isde1_qm4,4,R,Red3A,A,frc6738,False,58,0,0,2,0,4,20,22,4,1,8,5,16,9,21,25,0,0,17,45,4,,
2024isde1,qm,2024isde1_qm40,40,R,Red1S,S,frc2630,True,42,1,0,5,0,1,5,9,4,1,12,5,24,13,29,33,0,0,18,38,0,,
2024isde1,qm,2024isde1_qm40,40,R,Red2C,C,frc3065,True,42,1,0,5,0,1,5,9,4,1,12,5,24,13,29,33,0,0,18,38,0,,
2024isde1,qm,2024isde1_qm40,40,R,Red3A,A,frc5715,True,42,1,0,5,0,1,5,9,4,1,12,5,24,13,29,33,0,0,18,38,0,,
2024isde1,qm,2024isde1_qm41,41,R,Red1S,S,frc4319,True,27,0,0,32,0,1,5,11,1,0,5,0,10,5,10,11,0,0,7,16,5,,
2024isde1,qm,2024isde1_qm41,41,R,Red2C,C,frc7177,True,27,0,0,32,0,1,5,11,1,0,5,0,10,5,10,11,0,0,7,16,5,,
2024isde1,qm,2024isde1_qm41,41,R,Red3A,A,frc1942,True,27,0,0,32,0,1,5,11,1,0,5,0,10,5,10,11,0,0,7,16,5,,
2024isde1,qm,2024isde1_qm42,42,R,Red1S,S,frc4320,False,64,1,0,0,0,3,15,19,5,3,9,15,18,12,33,38,0,0,20,53,5,,
2024isde1,qm,2024isde1_qm42,42,R,Red2C,C,frc5715,False,64,1,0,0,0,3,15,19,5,3,9,15,18,12,33,38,0,0,20,53,5,,
2024isde1,qm,2024isde1_qm42,42,R,Red3A,A,frc9740,False,64,1,0,0,0,3,15,19,5,3,9,15,18,12,33,38,0,0,20,53,5,,
2024isde1,qm,2024isde1_qm43,43,R,Red1S,S,frc1577,False,83,1,0,7,0,4,20,22,5,3,7,15,14,10,29,34,0,0,19,54,2,,
2024isde1,qm,2024isde1_qm43,43,R,Red2C,C,frc1942,False,83,1,0,7,0,4,20,22,5,3,7,15,14,10,29,34,0,0,19,54,2,,
2024isde1,qm,2024isde1_qm43,43,R,Red3A,A,frc2630,False,83,1,0,7,0,4,20,22,5,3,7,15,14,10,29,34,0,0,19,54,2,,
2024isde1,qm,2024isde1_qm44,44,R,Red1S,S,frc6738,False,51,0,0,0,0,4,20,24,1,0,10,0,20,10,20,21,0,0,15,41,1,,
2024isde1,qm,2024isde1_qm44,44,R,Red2C,C,frc3211,False,51,0,0,0,0,4,20,24,1,0,10,0,20,10,20,21,0,0,15,41,1,,
2024isde1,qm,2024isde1_qm44,44,R,Red3A,A,frc6230,False,51,0,0,0,0,4,20,24,1,0,10,0,20,10,20,21,0,0,15,41,1,,
2024isde1,qm,2024isde1_qm45,45,R,Red1S,S,frc3316,True,47,1,0,14,0,2,10,16,1,0,14,0,28,14,28,29,0,0,17,39,2,,
2024isde1,qm,2024isde1_qm45,45,R,Red2C,C,frc4319,True,47,1,0,14,0,2,10,16,1,0,14,0,28,14,28,29,0,0,17,39,2,,
2024isde1,qm,2024isde1_qm45,45,R,Red3A,A,frc3339,True,47,1,0,14,0,2,10,16,1,0,14,0,28,14,28,29,0,0,17,39,2,,
2024isde1,qm,2024isde1_qm46,46,R,Red1S,S,frc9738,True,63,0,0,0,0,3,15,19,4,0,7,0,14,7,14,18,0,0,14,33,6,,
2024isde1,qm,2024isde1_qm46,46,R,Red2C,C,frc4320,True,63,0,0,0,0,3,15,19,4,0,7,0,14,7,14,18,0,0,14,33,6,,
2024isde1,qm,2024isde1_qm46,46,R,Red3A,A,frc1574,True,63,0,0,0,0,3,15,19,4,0,7,0,14,7,14,18,0,0,14,33,6,,
2024isde1,qm,2024isde1_qm47,47,R,Red1S,S,frc3065,False,60,1,0,0,0,4,20,22,4,2,9,10,18,11,28,32,0,0,19,52,1,,
2024isde1,qm,2024isde1_qm47,47,R,Red2C,C,frc3083,False,60,1,0,0,0,4,20,22,4,2,9,10,18,11,28,32,0,0,19,52,1,,
