Event_Key,Comp_Level,Key,Match_Number,Alliance,Station,View,Team,Coopertition,Score,MelodyRP,EnsembleRP,OppFoulPts,Aamp,Aspkr,ANotePts,AutoPts,Tamp,Tspkra,Tspkrna,TspkraPts,TspkrnaPts,Tspkr,TspkrPts,TNotePts,TrapPts,Trap,TotNotes,NotePts,StagePts,Scouted,HPamp,HPmics,Leave,AampT,AspkrT,AtrapT,TampT,TspkrT,TtrapT,TotNotesT,NeutFlrT,AllyWFlrT,RobotSet,Acenter1,Acenter2,Acenter3,Acenter4,Acenter5,ampM,ampShtP,spkrM,spkrShtP,trapM,trapShtP,NZflM,NZflP,AZflM,AZflP,OZflrT,OZflrM,OZflrP,NZflrT,NZflrM,NZflrP,AZflrT,AZflrM,AZflrP,SubwT,SubwM,SubwP,AcqOZfl,AcqNZfl,AcqAZfl,AcqSource,sourceD,timeOZ,timeNZ,timeAZ,timeclimb,stageStat,stageAtt,stageLoc,Harmony,Spotlit,appStrat,Defense,Avoid,teammatch,teammat,AptsT,AptsP,AnotesP,TampP,TspkrP,TspkrptsC,TtrapP,TotnotesP,noteptsT,noteptsP,stageptsT,stageptsP,TotptsC,TotptsP,AveTeamTNoteDels,AveOppTNoteDels,ATTNDDiff,AOTNPDiff
2024isde1,qm,2024isde1_qm3,3,B,Blue2C,C,frc1942,FALSE,36,0,0,0,0,1,5,11,3,0,10,0,20,10,20,23,0,0,14,28,2,1,0,0,0,0,0,0,3,9,0,12,0,1,Amp,0,0,0,1,0,0,100.00%,0,100.00%,0,0.00%,0,0.00%,0,100.00%,0,0,0.00%,0,0,0.00%,13,0,100.00%,0,0,0.00%,4,2,5,0,0,20.8191556,21.7266068,110.666191,0,Z,9,A,0,0,Z,10,10,1,1942.03,0,0.00%,0.00%,100.00%,90.00%,18,0.00%,85.71%,21.000,75.00%,0,0.00%,21,58.33%,21.00,18.49,0.00,0.00
2024isde1,qm,2024isde1_qm3,3,R,Red2C,C,frc1574,FALSE,15,0,0,0,0,0,0,2,2,0,5,0,10,5,10,12,0,0,7,12,1,1,1,10,1,0,0,0,2,3,0,5,0,0,Amp,0,0,0,0,0,0,100.00%,1,75.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%,5,1,83.33%,0,0,0.00%,1,0,3,0,0,42.0434081,46.4637206,50.9968354,0,Z,9,A,0,0,Z,10,10,1,1574.03,2,100.00%,0.00%,100.00%,60.00%,6,0.00%,71.43%,8.000,66.67%,0,0.00%,10,66.67%,8.44,27.38,-0.44,0.00
2024isde1,qm,2024isde1_qm3,3,B,Blue1A,A,frc1580,FALSE,36,0,0,0,0,1,5,11,3,0,10,0,20,10,20,23,0,0,14,28,2,1,0,0,1,0,0,0,0,1,0,1,0,0,SubW,0,0,0,0,0,2,0.00%,2,33.33%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%,1,3,25.00%,0,1,0.00%,1,0,4,0,0,7.7420624,7.9984442,134.590916,0,Z,9,A,0,0,Z,10,10,1,1580.03,2,18.18%,0.00%,0.00%,10.00%,2,0.00%,7.14%,2.000,7.14%,0,0.00%,4,11.11%,1.38,18.49,0.63,0.00
2024isde1,qm,2024isde1_qm3,3,R,Red1S,S,frc5135,FALSE,15,0,0,0,0,0,0,2,2,0,5,0,10,5,10,12,0,0,7,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Podm,0,0,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,0,146.3875601,15.925588,0,Z,9,A,0,0,Z,10,10,1,5135.03,0,0.00%,0.00%,0.00%,0.00%,0,0.00%,0.00%,0.000,0.00%,0,0.00%,0,0.00%,2.67,27.38,-2.67,0.00
2024isde1,qm,2024isde1_qm3,3,B,Blue3S,S,frc9738,FALSE,36,0,0,0,0,1,5,11,3,0,10,0,20,10,20,23,0,0,14,28,2,1,1,10,1,0,1,0,3,1,0,5,0,0,Podm,0,0,0,0,0,0,100.00%,1,66.67%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%,5,1,83.33%,0,0,0.00%,1,1,2,0,0,10.595672,48.3245264,81.6878047,0,Z,9,A,0,0,Z,10,10,1,9738.03,7,63.64%,0.00%,100.00%,10.00%,2,0.00%,35.71%,10.000,35.71%,0,0.00%,12,33.33%,5.00,18.49,0.00,0.00
2024isde1,qm,2024isde1_qm3,3,R,Red3A,A,frc9740,FALSE,15,0,0,0,0,0,0,2,2,0,5,0,10,5,10,12,0,0,7,12,1,1,0,0,1,0,0,0,0,0,0,0,0,0,OppS,0,0,0,0,0,0,0.00%,1,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,1,0.00%,0,0,0.00%,0,0,0.00%,0,0,0,0,0,24.2449033,96.0309903,9.8444693,1.2529782,On,1,Z,10,10,Z,10,10,1,9740.03,2,100.00%,0.00%,0.00%,0.00%,0,0.00%,0.00%,0.000,0.00%,23,2300.00%,25,166.67%,7.38,27.38,-7.38,0.00
2024isde1,qm,2024isde1_qm4,4,B,Blue2C,C,frc2230,FALSE,23,0,0,7,0,1,5,7,1,0,6,0,12,6,12,13,0,0,8,18,1,1,0,0,1,0,1,0,1,4,0,6,0,0,Podm,0,0,0,0,0,0,100.00%,0,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%,6,0,100.00%,0,0,0.00%,0,1,4,0,0,16.5162331,12.7960309,107.9777563,0,Else,0,A,0,0,Shooter,0,1,1,2230.04,7,100.00%,0.00%,100.00%,66.67%,8,0.00%,75.00%,14.000,77.78%,0,0.00%,16,69.57%,4.67,24.65,4.33,0.00
2024isde1,qm,2024isde1_qm4,4,R,Red2C,C,frc8175,FALSE,58,0,0,2,0,4,20,22,4,1,8,5,16,9,21,25,0,0,17,45,4,1,0,0,0,0,0,0,1,3,0,4,0,0,Amp,0,0,0,0,0,0,100.00%,1,75.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%,3,1,75.00%,1,0,100.00%,2,1,0,0,0,15.4108493,56.8758174,62.3636096,3.3093827,On,1,R,0,0,Shooter,0,0,1,8175.04,0,0.00%,0.00%,25.00%,33.33%,7,0.00%,23.53%,8.000,17.78%,3,75.00%,11,18.97%,1.33,29.72,6.67,0.00
2024isde1,qm,2024isde1_qm4,4,B,Blue3S,S,frc2630,FALSE,23,0,0,7,0,1,5,7,1,0,6,0,12,6,12,13,0,0,8,18,1,1,1,0,1,0,1,0,1,0,0,2,0,0,SubW,0,0,0,0,0,0,100.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%,2,1,66.67%,0,0,0.00%,0,0,2,0,0,1.9605994,59.4140189,76.4223368,0,Else,0,A,0,0,None,0,0,1,2630.04,7,100.00%,0.00%,100.00%,0.00%,0,0.00%,25.00%,6.000,33.33%,0,0.00%,8,34.78%,11.25,24.65,-10.25,0.00
2024isde1,qm,2024isde1_qm4,4,R,Red3A,A,frc6738,FALSE,58,0,0,2,0,4,20,22,4,1,8,5,16,9,21,25,0,0,17,45,4,1,1,0,1,0,2,0,0,3,0,5,0,0,SubW,0,0,0,0,0,2,0.00%,1,83.33%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%,5,3,62.50%,0,0,0.00%,0,1,3,0,0,11.5561829,55.805974,63.6235592,3.5992577,On,1,R,0,0,Shooter,0,0,1,6738.04,12,54.55%,0.00%,0.00%,33.33%,7,0.00%,29.41%,17.000,37.78%,3,75.00%,22,37.93%,14.00,29.72,-7.00,0.00
2024isde1,qm,2024isde1_qm4,4,B,Blue1A,A,frc3316,FALSE,23,0,0,7,0,1,5,7,1,0,6,0,12,6,12,13,0,0,8,18,1,1,0,0,0,0,1,0,0,1,0,2,0,0,Amp,0,0,0,0,0,2,0.00%,0,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%,1,2,33.33%,1,0,100.00%,1,0,2,0,0,26.8821625,17.0206095,95.0064835,0,Park,0,A,0,0,Hybrid,0,1,1,3316.04,5,71.43%,0.00%,0.00%,16.67%,2,0.00%,25.00%,7.000,38.89%,1,100.00%,8,34.78%,13.80,24.65,-11.80,0.00
2024isde1,qm,2024isde1_qm4,4,R,Red1S,S,frc3065,FALSE,58,0,0,2,0,4,20,22,4,1,8,5,16,9,21,25,0,0,17,45,4,1,0,0,1,0,1,0,0,2,0,3,0,0,Podm,0,0,0,0,0,0,0.00%,0,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,1,0,100.00%,2,0,100.00%,0,0,0.00%,0,0,1,0,0,34.1271397,28.062161,70.6899976,0.316547,Park,-1,A,0,0,Mover,2,1,1,3065.04,7,31.82%,0.00%,0.00%,22.22%,4.666666667,0.00%,17.65%,9.667,21.48%,1,25.00%,12.66666667,21.84%,9.32,29.72,-4.65,0.00
2024isde1,qm,2024isde1_qm5,5,B,Blue3S,S,frc5951,TRUE,46,0,0,5,0,2,10,14,5,1,5,5,10,6,15,20,0,0,13,30,7,1,0,0,1,0,3,0,3,1,0,7,0,0,SubW,0,0,0,0,0,1,75.00%,1,80.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%,4,2,66.67%,3,0,100.00%,2,0,5,0,0,30.8841859,30.2105031,62.1279076,13.0334993,Park,-1,A,0,0,Shooter,2,0,1,5951.05,17,121.43%,0.00%,60.00%,16.67%,2.5,0.00%,53.85%,20.500,68.33%,1,14.29%,23.5,51.09%,9.97,15.73,-4.47,0.00
